"","complaintNum","complaintDate","complaintTime","unknownDate","unknownTime","reportedDate","offenseCode","offenseDescription","internalOffenseCode","internalOffenseDescrption","completion","offenseLevel","jurisdiction","borough","precinct","premise","premiseDescrption","parkName","housingDevelopment","x","y","lat","long","NA"
"1",153401121,"12/31/2015",23:36:00,NA,NA,"12/31/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",103,"OUTSIDE",NA,NA,NA,1043991,193406,40.697338138,-73.784556739,"(40.697338138, -73.784556739)"
"2",940141475,"12/17/2004",15:02:00,NA,NA,"12/31/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",70,"OUTSIDE",NA,NA,NA,996108,176259,40.650467172,-73.957267875,"(40.650467172, -73.957267875)"
"3",586976434,"12/30/2015",02:45:00,NA,NA,"12/30/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",52,"OUTSIDE",NA,NA,NA,1019388,259017,40.877554428,-73.872939471,"(40.877554428, -73.872939471)"
"4",388875685,"07/21/1992",23:00:00,NA,NA,"12/30/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",46,"INSIDE",NA,NA,NA,1005725,249742,40.852141187,-73.922375722,"(40.852141187, -73.922375722)"
"5",432741267,"10/01/1969",23:59:00,NA,NA,"12/29/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",32,"OUTSIDE",NA,NA,NA,1000565,234704,40.810877241,-73.941064151,"(40.810877241, -73.941064151)"
"6",815051324,"12/28/2015",17:30:00,NA,NA,"12/28/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. HOUSING POLICE","BROOKLYN",61,"INSIDE",NA,NA,"SHEEPSHEAD BAY",1001474,156113,40.595161807,-73.937981421,"(40.595161807, -73.937981421)"
"7",436431388,"12/28/2015",17:30:00,NA,NA,"12/28/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. HOUSING POLICE","BROOKLYN",61,"INSIDE",NA,NA,"SHEEPSHEAD BAY",1001474,156113,40.595161807,-73.937981421,"(40.595161807, -73.937981421)"
"8",594991710,"09/20/1979",03:34:00,NA,NA,"12/28/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",70,"INSIDE",NA,NA,NA,994970,162504,40.612714054,-73.961390818,"(40.612714054, -73.961390818)"
"9",950464116,"12/26/2015",16:30:00,NA,NA,"12/26/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",103,"OUTSIDE",NA,NA,NA,1041975,193412,40.697367986,-73.791826985,"(40.697367986, -73.791826985)"
"10",822354166,"12/19/2015",16:04:00,NA,NA,"12/19/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",77,"OUTSIDE",NA,NA,NA,1002388,185584,40.676051596,-73.934611088,"(40.676051596, -73.934611088)"
"11",546107435,"12/19/2015",06:11:00,NA,NA,"12/19/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",81,"OUTSIDE",NA,NA,NA,1004509,186445,40.678410246,-73.926961963,"(40.678410246, -73.926961963)"
"12",114662734,"12/24/2015",22:55:00,NA,NA,"12/24/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",46,"OUTSIDE",NA,NA,NA,1010778,251898,40.858045026,-73.904102113,"(40.858045026, -73.904102113)"
"13",823093157,"12/20/2015",09:21:00,NA,NA,"12/20/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",52,"OUTSIDE",NA,NA,NA,1010675,253888,40.863507284,-73.904466615,"(40.863507284, -73.904466615)"
"14",234584652,"12/17/2015",21:09:00,NA,NA,"12/17/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",79,"OUTSIDE",NA,NA,NA,1000083,189065,40.685610573,-73.942912796,"(40.685610573, -73.942912796)"
"15",254640842,"12/14/2015",04:15:00,NA,NA,"12/14/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","STATEN ISLAND",120,"OUTSIDE",NA,NA,NA,962824,174279,40.645014517,-74.07720963,"(40.645014517, -74.07720963)"
"16",225687223,"12/13/2015",00:28:00,NA,NA,"12/13/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. HOUSING POLICE","BROOKLYN",79,"OUTSIDE",NA,NA,NA,998286,189885,40.687864317,-73.949390484,"(40.687864317, -73.949390484)"
"17",976911312,"12/11/2015",21:42:00,NA,NA,"12/11/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",67,"INSIDE",NA,NA,NA,997380,173775,40.643647334,-73.952688708,"(40.643647334, -73.952688708)"
"18",430102539,"12/11/2015",20:00:00,NA,NA,"12/11/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",60,"INSIDE",NA,NA,NA,987641,148923,40.575442769,-73.987794763,"(40.575442769, -73.987794763)"
"19",253740947,"12/10/2015",07:00:00,NA,NA,"12/10/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",49,"INSIDE",NA,NA,NA,1023354,248384,40.848353408,-73.858660142,"(40.848353408, -73.858660142)"
"20",386085785,"06/14/1982",01:58:00,NA,NA,"12/10/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",84,"OUTSIDE",NA,NA,NA,988471,194252,40.699860845,-73.98477864,"(40.699860845, -73.98477864)"
"21",706929585,"12/09/2015",08:56:00,NA,NA,"12/09/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","STATEN ISLAND",123,"INSIDE",NA,NA,NA,922884,135831,40.539296108,-74.220783054,"(40.539296108, -74.220783054)"
"22",674855705,"12/07/2015",21:37:00,NA,NA,"12/07/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",72,"OUTSIDE",NA,NA,NA,980738,170975,40.635970966,-74.012655151,"(40.635970966, -74.012655151)"
"23",967459640,"12/06/2015",06:39:00,NA,NA,"12/06/2015",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",44,"INSIDE",NA,NA,NA,1005620,244949,40.838986067,-73.922770541,"(40.838986067, -73.922770541)"
